state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Alabama,2011,"$8,599 ",$536 ,$837 ,$557 ,$604 ,$63 ,$0 ,$108 
Alaska,2011,"$25,403 ","$2,003 ",$467 ,$463 ,$0 ,$998 ,$0 ,$223 
Arizona,2011,"$9,088 ","$1,085 ","$1,282 ",$320 ,$444 ,$87 ,$0 ,$63 
Arkansas,2011,"$9,424 ",$619 ,"$1,242 ",$456 ,$773 ,$128 ,$0 ,$135 
California,2011,"$13,840 ","$1,424 ","$1,135 ",$507 ,"$1,342 ",$255 ,$0 ,$161 
Colorado,2011,"$10,129 ","$1,353 ","$1,044 ",$375 ,$887 ,$75 ,$0 ,$132 
Connecticut,2011,"$11,832 ","$2,626 ",$918 ,$633 ,"$1,800 ",$254 ,$63 ,$219 
DC,2011,"$21,426 ","$2,861 ","$1,643 ",$682 ,"$2,099 ",$582 ,$141 ,$251 
Delaware,2011,"$12,181 ",$776 ,$0 ,$557 ,"$1,117 ",$325 ,$18 ,$116 
Florida,2011,"$9,465 ","$1,361 ","$1,059 ",$596 ,$0 ,$98 ,$0 ,$87 
Georgia,2011,"$8,627 ","$1,071 ",$882 ,$313 ,$781 ,$68 ,$0 ,$80 
Hawaii,2011,"$11,513 ",$957 ,"$1,931 ",$748 ,$901 ,$49 ,$5 ,$180 
Idaho,2011,"$8,892 ",$879 ,$748 ,$286 ,$737 ,$107 ,$0 ,$177 
Illinois,2011,"$10,545 ","$1,901 ",$703 ,$668 ,$909 ,$218 ,$9 ,$195 
Indiana,2011,"$8,757 ",$976 ,$961 ,$417 ,$947 ,$110 ,$23 ,$108 
Iowa,2011,"$11,277 ","$1,445 ",$946 ,$425 ,$959 ,$82 ,$21 ,$194 
Kansas,2011,"$9,937 ","$1,366 ","$1,144 ",$376 ,$937 ,$86 ,$0 ,$139 
Kentucky,2011,"$9,365 ",$701 ,$662 ,$587 ,"$1,033 ",$143 ,$9 ,$109 
Louisiana,2011,"$10,766 ",$783 ,"$1,440 ",$578 ,$525 ,$43 ,$0 ,$52 
Maine,2011,"$10,467 ","$1,786 ",$760 ,$511 ,"$1,068 ",$157 ,$37 ,$125 
Maryland,2011,"$10,728 ","$1,454 ",$666 ,$592 ,"$1,797 ",$133 ,$37 ,$170 
Massachusetts,2011,"$12,496 ","$2,004 ",$742 ,$365 ,"$1,749 ",$291 ,$47 ,$283 
Michigan,2011,"$9,454 ","$1,379 ",$976 ,$376 ,$690 ,$74 ,$0 ,$179 
Minnesota,2011,"$11,892 ","$1,529 ",$890 ,$702 ,"$1,398 ",$188 ,$30 ,$212 
Mississippi,2011,"$10,577 ",$869 ,$997 ,$454 ,$469 ,$117 ,$0 ,$65 
Missouri,2011,"$9,507 ",$959 ,$828 ,$395 ,$805 ,$64 ,$0 ,$110 
